0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
135 5 ['38d16m12s', '118d58m16s'] ['38d16m12s', '118d54m45s'] ['38d13m30s', '118d58m16s'] ['38d13m30s', '118d54m45s'] 2899
136 5 ['38d16m12s', '119d1m47s'] ['38d16m12s', '118d58m16s'] ['38d13m30s', '119d1m47s'] ['38d13m30s', '118d58m16s'] 2822
137 5 ['38d16m12s', '119d5m18s'] ['38d16m12s', '119d1m47s'] ['38d13m30s', '119d5m18s'] ['38d13m30s', '119d1m47s'] 3105
138 5 ['38d16m12s', '119d8m49s'] ['38d16m12s', '119d5m18s'] ['38d13m30s', '119d8m49s'] ['38d13m30s', '119d5m18s'] 3065
139 5 ['38d16m12s', '119d12m20s'] ['38d16m12s', '119d8m49s'] ['38d13m30s', '119d12m20s'] ['38d13m30s', '119d8m49s'] 2473
140 5 ['38d16m12s', '119d15m51s'] ['38d16m12s', '119d12m20s'] ['38d13m30s', '119d15m51s'] ['38d13m30s', '119d12m20s'] 2135
141 5 ['38d16m12s', '119d19m22s'] ['38d16m12s', '119d15m51s'] ['38d13m30s', '119d19m22s'] ['38d13m30s', '119d15m51s'] 2500
142 5 ['38d16m12s', '119d22m53s'] ['38d16m12s', '119d19m22s'] ['38d13m30s', '119d22m53s'] ['38d13m30s', '119d19m22s'] 3075
143 5 ['38d16m12s', '119d26m24s'] ['38d16m12s', '119d22m53s'] ['38d13m30s', '119d26m24s'] ['38d13m30s', '119d22m53s'] 3242
144 5 ['38d16m12s', '119d29m55s'] ['38d16m12s', '119d26m24s'] ['38d13m30s', '119d29m55s'] ['38d13m30s', '119d26m24s'] 3520
145 5 ['38d16m12s', '119d33m26s'] ['38d16m12s', '119d29m55s'] ['38d13m30s', '119d33m26s'] ['38d13m30s', '119d29m55s'] 3264
146 5 ['38d16m12s', '119d36m57s'] ['38d16m12s', '119d33m26s'] ['38d13m30s', '119d36m57s'] ['38d13m30s', '119d33m26s'] 3293
147 5 ['38d16m12s', '119d40m28s'] ['38d16m12s', '119d36m57s'] ['38d13m30s', '119d40m28s'] ['38d13m30s', '119d36m57s'] 3295
148 5 ['38d16m12s', '119d43m59s'] ['38d16m12s', '119d40m28s'] ['38d13m30s', '119d43m59s'] ['38d13m30s', '119d40m28s'] 3278
149 5 ['38d16m12s', '119d47m30s'] ['38d16m12s', '119d43m59s'] ['38d13m30s', '119d47m30s'] ['38d13m30s', '119d43m59s'] 3006
150 5 ['38d16m12s', '119d51m1s'] ['38d16m12s', '119d47m30s'] ['38d13m30s', '119d51m1s'] ['38d13m30s', '119d47m30s'] 2993
151 5 ['38d16m12s', '119d54m32s'] ['38d16m12s', '119d51m1s'] ['38d13m30s', '119d54m32s'] ['38d13m30s', '119d51m1s'] 2918
152 5 ['38d16m12s', '119d58m3s'] ['38d16m12s', '119d54m32s'] ['38d13m30s', '119d58m3s'] ['38d13m30s', '119d54m32s'] 2620
153 5 ['38d16m12s', '120d1m34s'] ['38d16m12s', '119d58m3s'] ['38d13m30s', '120d1m34s'] ['38d13m30s', '119d58m3s'] 2195
154 5 ['38d16m12s', '120d5m5s'] ['38d16m12s', '120d1m34s'] ['38d13m30s', '120d5m5s'] ['38d13m30s', '120d1m34s'] 1972
155 5 ['38d16m12s', '120d8m36s'] ['38d16m12s', '120d5m5s'] ['38d13m30s', '120d8m36s'] ['38d13m30s', '120d5m5s'] 1947
156 5 ['38d16m12s', '120d12m7s'] ['38d16m12s', '120d8m36s'] ['38d13m30s', '120d12m7s'] ['38d13m30s', '120d8m36s'] 1879
157 5 ['38d16m12s', '120d15m38s'] ['38d16m12s', '120d12m7s'] ['38d13m30s', '120d15m38s'] ['38d13m30s', '120d12m7s'] 1729
158 5 ['38d16m12s', '120d19m9s'] ['38d16m12s', '120d15m38s'] ['38d13m30s', '120d19m9s'] ['38d13m30s', '120d15m38s'] 1542
159 5 ['38d16m12s', '120d22m40s'] ['38d16m12s', '120d19m9s'] ['38d13m30s', '120d22m40s'] ['38d13m30s', '120d19m9s'] 1462
160 5 ['38d16m12s', '120d26m11s'] ['38d16m12s', '120d22m40s'] ['38d13m30s', '120d26m11s'] ['38d13m30s', '120d22m40s'] 1359
161 5 ['38d16m12s', '120d29m42s'] ['38d16m12s', '120d26m11s'] ['38d13m30s', '120d29m42s'] ['38d13m30s', '120d26m11s'] 1115
162 5 ['38d16m12s', '120d33m13s'] ['38d16m12s', '120d29m42s'] ['38d13m30s', '120d33m13s'] ['38d13m30s', '120d29m42s'] 914
163 5 ['38d16m12s', '120d36m44s'] ['38d16m12s', '120d33m13s'] ['38d13m30s', '120d36m44s'] ['38d13m30s', '120d33m13s'] 833
164 5 ['38d16m12s', '120d40m15s'] ['38d16m12s', '120d36m44s'] ['38d13m30s', '120d40m15s'] ['38d13m30s', '120d36m44s'] 850
165 5 ['38d16m12s', '120d43m46s'] ['38d16m12s', '120d40m15s'] ['38d13m30s', '120d43m46s'] ['38d13m30s', '120d40m15s'] 536
166 5 ['38d16m12s', '120d47m17s'] ['38d16m12s', '120d43m46s'] ['38d13m30s', '120d47m17s'] ['38d13m30s', '120d43m46s'] 626
167 5 ['38d16m12s', '120d50m48s'] ['38d16m12s', '120d47m17s'] ['38d13m30s', '120d50m48s'] ['38d13m30s', '120d47m17s'] 380
168 5 ['38d16m12s', '120d54m19s'] ['38d16m12s', '120d50m48s'] ['38d13m30s', '120d54m19s'] ['38d13m30s', '120d50m48s'] 283
169 5 ['38d16m12s', '120d57m50s'] ['38d16m12s', '120d54m19s'] ['38d13m30s', '120d57m50s'] ['38d13m30s', '120d54m19s'] 247
170 5 ['38d16m12s', '121d1m21s'] ['38d16m12s', '120d57m50s'] ['38d13m30s', '121d1m21s'] ['38d13m30s', '120d57m50s'] 144
171 5 ['38d16m12s', '121d4m52s'] ['38d16m12s', '121d1m21s'] ['38d13m30s', '121d4m52s'] ['38d13m30s', '121d1m21s'] 111
172 5 ['38d16m12s', '121d8m23s'] ['38d16m12s', '121d4m52s'] ['38d13m30s', '121d8m23s'] ['38d13m30s', '121d4m52s'] 74
173 5 ['38d16m12s', '121d11m54s'] ['38d16m12s', '121d8m23s'] ['38d13m30s', '121d11m54s'] ['38d13m30s', '121d8m23s'] 56
174 5 ['38d16m12s', '121d15m25s'] ['38d16m12s', '121d11m54s'] ['38d13m30s', '121d15m25s'] ['38d13m30s', '121d11m54s'] 33
175 5 ['38d16m12s', '121d18m56s'] ['38d16m12s', '121d15m25s'] ['38d13m30s', '121d18m56s'] ['38d13m30s', '121d15m25s'] 33
176 5 ['38d16m12s', '121d22m27s'] ['38d16m12s', '121d18m56s'] ['38d13m30s', '121d22m27s'] ['38d13m30s', '121d18m56s'] 40
177 5 ['38d16m12s', '121d25m58s'] ['38d16m12s', '121d22m27s'] ['38d13m30s', '121d25m58s'] ['38d13m30s', '121d22m27s'] 22
178 5 ['38d16m12s', '121d29m29s'] ['38d16m12s', '121d25m58s'] ['38d13m30s', '121d29m29s'] ['38d13m30s', '121d25m58s'] 40
179 5 ['38d16m12s', '121d33m0s'] ['38d16m12s', '121d29m29s'] ['38d13m30s', '121d33m0s'] ['38d13m30s', '121d29m29s'] 18
180 5 ['38d16m12s', '121d36m31s'] ['38d16m12s', '121d33m0s'] ['38d13m30s', '121d36m31s'] ['38d13m30s', '121d33m0s'] 19
181 5 ['38d16m12s', '121d40m2s'] ['38d16m12s', '121d36m31s'] ['38d13m30s', '121d40m2s'] ['38d13m30s', '121d36m31s'] 10
182 5 ['38d16m12s', '121d43m33s'] ['38d16m12s', '121d40m2s'] ['38d13m30s', '121d43m33s'] ['38d13m30s', '121d40m2s'] 12
183 5 ['38d16m12s', '121d47m4s'] ['38d16m12s', '121d43m33s'] ['38d13m30s', '121d47m4s'] ['38d13m30s', '121d43m33s'] 17
184 5 ['38d16m12s', '121d50m35s'] ['38d16m12s', '121d47m4s'] ['38d13m30s', '121d50m35s'] ['38d13m30s', '121d47m4s'] 23
185 5 ['38d16m12s', '121d54m6s'] ['38d16m12s', '121d50m35s'] ['38d13m30s', '121d54m6s'] ['38d13m30s', '121d50m35s'] 33
186 5 ['38d16m12s', '121d57m37s'] ['38d16m12s', '121d54m6s'] ['38d13m30s', '121d57m37s'] ['38d13m30s', '121d54m6s'] 51
187 5 ['38d16m12s', '122d1m8s'] ['38d16m12s', '121d57m37s'] ['38d13m30s', '122d1m8s'] ['38d13m30s', '121d57m37s'] 32
188 5 ['38d16m12s', '122d4m39s'] ['38d16m12s', '122d1m8s'] ['38d13m30s', '122d4m39s'] ['38d13m30s', '122d1m8s'] 61
189 5 ['38d16m12s', '122d8m10s'] ['38d16m12s', '122d4m39s'] ['38d13m30s', '122d8m10s'] ['38d13m30s', '122d4m39s'] 152
190 5 ['38d16m12s', '122d11m41s'] ['38d16m12s', '122d8m10s'] ['38d13m30s', '122d11m41s'] ['38d13m30s', '122d8m10s'] 485
191 5 ['38d16m12s', '122d15m12s'] ['38d16m12s', '122d11m41s'] ['38d13m30s', '122d15m12s'] ['38d13m30s', '122d11m41s'] 507
192 5 ['38d16m12s', '122d18m43s'] ['38d16m12s', '122d15m12s'] ['38d13m30s', '122d18m43s'] ['38d13m30s', '122d15m12s'] 139
193 5 ['38d16m12s', '122d22m14s'] ['38d16m12s', '122d18m43s'] ['38d13m30s', '122d22m14s'] ['38d13m30s', '122d18m43s'] 142
194 5 ['38d16m12s', '122d25m45s'] ['38d16m12s', '122d22m14s'] ['38d13m30s', '122d25m45s'] ['38d13m30s', '122d22m14s'] 231
195 5 ['38d16m12s', '122d29m16s'] ['38d16m12s', '122d25m45s'] ['38d13m30s', '122d29m16s'] ['38d13m30s', '122d25m45s'] 215
196 5 ['38d16m12s', '122d32m47s'] ['38d16m12s', '122d29m16s'] ['38d13m30s', '122d32m47s'] ['38d13m30s', '122d29m16s'] 267
197 5 ['38d16m12s', '122d36m18s'] ['38d16m12s', '122d32m47s'] ['38d13m30s', '122d36m18s'] ['38d13m30s', '122d32m47s'] 246
198 5 ['38d16m12s', '122d39m49s'] ['38d16m12s', '122d36m18s'] ['38d13m30s', '122d39m49s'] ['38d13m30s', '122d36m18s'] 100
199 5 ['38d16m12s', '122d43m20s'] ['38d16m12s', '122d39m49s'] ['38d13m30s', '122d43m20s'] ['38d13m30s', '122d39m49s'] 180
200 5 ['38d16m12s', '122d46m51s'] ['38d16m12s', '122d43m20s'] ['38d13m30s', '122d46m51s'] ['38d13m30s', '122d43m20s'] 182
201 5 ['38d16m12s', '122d50m22s'] ['38d16m12s', '122d46m51s'] ['38d13m30s', '122d50m22s'] ['38d13m30s', '122d46m51s'] 232
202 5 ['38d16m12s', '122d53m53s'] ['38d16m12s', '122d50m22s'] ['38d13m30s', '122d53m53s'] ['38d13m30s', '122d50m22s'] 206
203 5 ['38d16m12s', '122d57m24s'] ['38d16m12s', '122d53m53s'] ['38d13m30s', '122d57m24s'] ['38d13m30s', '122d53m53s'] 175
204 5 ['38d16m12s', '123d0m55s'] ['38d16m12s', '122d57m24s'] ['38d13m30s', '123d0m55s'] ['38d13m30s', '122d57m24s'] 141
205 5 ['38d16m12s', '123d4m26s'] ['38d16m12s', '123d0m55s'] ['38d13m30s', '123d4m26s'] ['38d13m30s', '123d0m55s'] 0
206 5 ['38d16m12s', '123d7m57s'] ['38d16m12s', '123d4m26s'] ['38d13m30s', '123d7m57s'] ['38d13m30s', '123d4m26s'] 0
207 5 ['38d16m12s', '123d11m28s'] ['38d16m12s', '123d7m57s'] ['38d13m30s', '123d11m28s'] ['38d13m30s', '123d7m57s'] 0
208 5 ['38d16m12s', '123d14m59s'] ['38d16m12s', '123d11m28s'] ['38d13m30s', '123d14m59s'] ['38d13m30s', '123d11m28s'] 0
209 5 ['38d16m12s', '123d18m30s'] ['38d16m12s', '123d14m59s'] ['38d13m30s', '123d18m30s'] ['38d13m30s', '123d14m59s'] 0
210 5 ['38d16m12s', '123d22m1s'] ['38d16m12s', '123d18m30s'] ['38d13m30s', '123d22m1s'] ['38d13m30s', '123d18m30s'] 0
211 5 ['38d16m12s', '123d25m32s'] ['38d16m12s', '123d22m1s'] ['38d13m30s', '123d25m32s'] ['38d13m30s', '123d22m1s'] 0
212 5 ['38d16m12s', '123d29m3s'] ['38d16m12s', '123d25m32s'] ['38d13m30s', '123d29m3s'] ['38d13m30s', '123d25m32s'] 0
213 5 ['38d16m12s', '123d32m34s'] ['38d16m12s', '123d29m3s'] ['38d13m30s', '123d32m34s'] ['38d13m30s', '123d29m3s'] 0
214 5 ['38d16m12s', '123d36m5s'] ['38d16m12s', '123d32m34s'] ['38d13m30s', '123d36m5s'] ['38d13m30s', '123d32m34s'] 0
215 5 ['38d16m12s', '123d39m36s'] ['38d16m12s', '123d36m5s'] ['38d13m30s', '123d39m36s'] ['38d13m30s', '123d36m5s'] 0
216 5 ['38d16m12s', '123d43m7s'] ['38d16m12s', '123d39m36s'] ['38d13m30s', '123d43m7s'] ['38d13m30s', '123d39m36s'] 0
217 5 ['38d16m12s', '123d46m38s'] ['38d16m12s', '123d43m7s'] ['38d13m30s', '123d46m38s'] ['38d13m30s', '123d43m7s'] 0
218 5 ['38d16m12s', '123d50m9s'] ['38d16m12s', '123d46m38s'] ['38d13m30s', '123d50m9s'] ['38d13m30s', '123d46m38s'] 0
219 5 ['38d16m12s', '123d53m40s'] ['38d16m12s', '123d50m9s'] ['38d13m30s', '123d53m40s'] ['38d13m30s', '123d50m9s'] 0
220 5 ['38d16m12s', '123d57m11s'] ['38d16m12s', '123d53m40s'] ['38d13m30s', '123d57m11s'] ['38d13m30s', '123d53m40s'] 0
221 5 ['38d16m12s', '124d0m42s'] ['38d16m12s', '123d57m11s'] ['38d13m30s', '124d0m42s'] ['38d13m30s', '123d57m11s'] 0
222 5 ['38d16m12s', '124d4m13s'] ['38d16m12s', '124d0m42s'] ['38d13m30s', '124d4m13s'] ['38d13m30s', '124d0m42s'] 0
223 5 ['38d16m12s', '124d7m44s'] ['38d16m12s', '124d4m13s'] ['38d13m30s', '124d7m44s'] ['38d13m30s', '124d4m13s'] 0
224 5 ['38d16m12s', '124d11m15s'] ['38d16m12s', '124d7m44s'] ['38d13m30s', '124d11m15s'] ['38d13m30s', '124d7m44s'] 0
225 5 ['38d16m12s', '124d14m46s'] ['38d16m12s', '124d11m15s'] ['38d13m30s', '124d14m46s'] ['38d13m30s', '124d11m15s'] 0
226 5 ['38d16m12s', '124d18m17s'] ['38d16m12s', '124d14m46s'] ['38d13m30s', '124d18m17s'] ['38d13m30s', '124d14m46s'] 0
227 5 ['38d16m12s', '124d21m48s'] ['38d16m12s', '124d18m17s'] ['38d13m30s', '124d21m48s'] ['38d13m30s', '124d18m17s'] 0
228 5 ['38d16m12s', '124d25m19s'] ['38d16m12s', '124d21m48s'] ['38d13m30s', '124d25m19s'] ['38d13m30s', '124d21m48s'] 0
229 5 ['38d16m12s', '124d28m50s'] ['38d16m12s', '124d25m19s'] ['38d13m30s', '124d28m50s'] ['38d13m30s', '124d25m19s'] 0
230 5 ['38d16m12s', '124d32m21s'] ['38d16m12s', '124d28m50s'] ['38d13m30s', '124d32m21s'] ['38d13m30s', '124d28m50s'] 0
231 5 ['38d16m12s', '124d35m52s'] ['38d16m12s', '124d32m21s'] ['38d13m30s', '124d35m52s'] ['38d13m30s', '124d32m21s'] 0
232 5 ['38d16m12s', '124d39m23s'] ['38d16m12s', '124d35m52s'] ['38d13m30s', '124d39m23s'] ['38d13m30s', '124d35m52s'] 0
233 5 ['38d16m12s', '124d42m54s'] ['38d16m12s', '124d39m23s'] ['38d13m30s', '124d42m54s'] ['38d13m30s', '124d39m23s'] 0
234 5 ['38d16m12s', '124d46m25s'] ['38d16m12s', '124d42m54s'] ['38d13m30s', '124d46m25s'] ['38d13m30s', '124d42m54s'] 0
235 5 ['38d16m12s', '124d49m56s'] ['38d16m12s', '124d46m25s'] ['38d13m30s', '124d49m56s'] ['38d13m30s', '124d46m25s'] 0
236 5 ['38d16m12s', '124d53m27s'] ['38d16m12s', '124d49m56s'] ['38d13m30s', '124d53m27s'] ['38d13m30s', '124d49m56s'] 0
237 5 ['38d16m12s', '124d56m58s'] ['38d16m12s', '124d53m27s'] ['38d13m30s', '124d56m58s'] ['38d13m30s', '124d53m27s'] 0
238 5 ['38d16m12s', '125d0m29s'] ['38d16m12s', '124d56m58s'] ['38d13m30s', '125d0m29s'] ['38d13m30s', '124d56m58s'] 0
239 5 ['38d16m12s', '125d4m0s'] ['38d16m12s', '125d0m29s'] ['38d13m30s', '125d4m0s'] ['38d13m30s', '125d0m29s'] 0
0 6 ['38d18m54s', '111d3m31s'] ['38d18m54s', '111d0m0s'] ['38d16m12s', '111d3m31s'] ['38d16m12s', '111d0m0s'] 1792
1 6 ['38d18m54s', '111d7m2s'] ['38d18m54s', '111d3m31s'] ['38d16m12s', '111d7m2s'] ['38d16m12s', '111d3m31s'] 1677
2 6 ['38d18m54s', '111d10m33s'] ['38d18m54s', '111d7m2s'] ['38d16m12s', '111d10m33s'] ['38d16m12s', '111d7m2s'] 1839
3 6 ['38d18m54s', '111d14m4s'] ['38d18m54s', '111d10m33s'] ['38d16m12s', '111d14m4s'] ['38d16m12s', '111d10m33s'] 2020
4 6 ['38d18m54s', '111d17m35s'] ['38d18m54s', '111d14m4s'] ['38d16m12s', '111d17m35s'] ['38d16m12s', '111d14m4s'] 2136
5 6 ['38d18m54s', '111d21m6s'] ['38d18m54s', '111d17m35s'] ['38d16m12s', '111d21m6s'] ['38d16m12s', '111d17m35s'] 2197
6 6 ['38d18m54s', '111d24m37s'] ['38d18m54s', '111d21m6s'] ['38d16m12s', '111d24m37s'] ['38d16m12s', '111d21m6s'] 2147
7 6 ['38d18m54s', '111d28m8s'] ['38d18m54s', '111d24m37s'] ['38d16m12s', '111d28m8s'] ['38d16m12s', '111d24m37s'] 2273
8 6 ['38d18m54s', '111d31m39s'] ['38d18m54s', '111d28m8s'] ['38d16m12s', '111d31m39s'] ['38d16m12s', '111d28m8s'] 2573
9 6 ['38d18m54s', '111d35m10s'] ['38d18m54s', '111d31m39s'] ['38d16m12s', '111d35m10s'] ['38d16m12s', '111d31m39s'] 2429
10 6 ['38d18m54s', '111d38m41s'] ['38d18m54s', '111d35m10s'] ['38d16m12s', '111d38m41s'] ['38d16m12s', '111d35m10s'] 2442
11 6 ['38d18m54s', '111d42m12s'] ['38d18m54s', '111d38m41s'] ['38d16m12s', '111d42m12s'] ['38d16m12s', '111d38m41s'] 2577
12 6 ['38d18m54s', '111d45m43s'] ['38d18m54s', '111d42m12s'] ['38d16m12s', '111d45m43s'] ['38d16m12s', '111d42m12s'] 2623
13 6 ['38d18m54s', '111d49m14s'] ['38d18m54s', '111d45m43s'] ['38d16m12s', '111d49m14s'] ['38d16m12s', '111d45m43s'] 2781
14 6 ['38d18m54s', '111d52m45s'] ['38d18m54s', '111d49m14s'] ['38d16m12s', '111d52m45s'] ['38d16m12s', '111d49m14s'] 2968
15 6 ['38d18m54s', '111d56m16s'] ['38d18m54s', '111d52m45s'] ['38d16m12s', '111d56m16s'] ['38d16m12s', '111d52m45s'] 2994
16 6 ['38d18m54s', '111d59m47s'] ['38d18m54s', '111d56m16s'] ['38d16m12s', '111d59m47s'] ['38d16m12s', '111d56m16s'] 2245
17 6 ['38d18m54s', '112d3m18s'] ['38d18m54s', '111d59m47s'] ['38d16m12s', '112d3m18s'] ['38d16m12s', '111d59m47s'] 2714
18 6 ['38d18m54s', '112d6m49s'] ['38d18m54s', '112d3m18s'] ['38d16m12s', '112d6m49s'] ['38d16m12s', '112d3m18s'] 2877
19 6 ['38d18m54s', '112d10m20s'] ['38d18m54s', '112d6m49s'] ['38d16m12s', '112d10m20s'] ['38d16m12s', '112d6m49s'] 2611
20 6 ['38d18m54s', '112d13m51s'] ['38d18m54s', '112d10m20s'] ['38d16m12s', '112d13m51s'] ['38d16m12s', '112d10m20s'] 2381
21 6 ['38d18m54s', '112d17m22s'] ['38d18m54s', '112d13m51s'] ['38d16m12s', '112d17m22s'] ['38d16m12s', '112d13m51s'] 2666
22 6 ['38d18m54s', '112d20m53s'] ['38d18m54s', '112d17m22s'] ['38d16m12s', '112d20m53s'] ['38d16m12s', '112d17m22s'] 3392
23 6 ['38d18m54s', '112d24m24s'] ['38d18m54s', '112d20m53s'] ['38d16m12s', '112d24m24s'] ['38d16m12s', '112d20m53s'] 3283
24 6 ['38d18m54s', '112d27m55s'] ['38d18m54s', '112d24m24s'] ['38d16m12s', '112d27m55s'] ['38d16m12s', '112d24m24s'] 2989
25 6 ['38d18m54s', '112d31m26s'] ['38d18m54s', '112d27m55s'] ['38d16m12s', '112d31m26s'] ['38d16m12s', '112d27m55s'] 3031
26 6 ['38d18m54s', '112d34m57s'] ['38d18m54s', '112d31m26s'] ['38d16m12s', '112d34m57s'] ['38d16m12s', '112d31m26s'] 2568
27 6 ['38d18m54s', '112d38m28s'] ['38d18m54s', '112d34m57s'] ['38d16m12s', '112d38m28s'] ['38d16m12s', '112d34m57s'] 2083
28 6 ['38d18m54s', '112d41m59s'] ['38d18m54s', '112d38m28s'] ['38d16m12s', '112d41m59s'] ['38d16m12s', '112d38m28s'] 1858
29 6 ['38d18m54s', '112d45m30s'] ['38d18m54s', '112d41m59s'] ['38d16m12s', '112d45m30s'] ['38d16m12s', '112d41m59s'] 1863
30 6 ['38d18m54s', '112d49m1s'] ['38d18m54s', '112d45m30s'] ['38d16m12s', '112d49m1s'] ['38d16m12s', '112d45m30s'] 2294
31 6 ['38d18m54s', '112d52m32s'] ['38d18m54s', '112d49m1s'] ['38d16m12s', '112d52m32s'] ['38d16m12s', '112d49m1s'] 2476
32 6 ['38d18m54s', '112d56m3s'] ['38d18m54s', '112d52m32s'] ['38d16m12s', '112d56m3s'] ['38d16m12s', '112d52m32s'] 2588
33 6 ['38d18m54s', '112d59m34s'] ['38d18m54s', '112d56m3s'] ['38d16m12s', '112d59m34s'] ['38d16m12s', '112d56m3s'] 1910
34 6 ['38d18m54s', '113d3m5s'] ['38d18m54s', '112d59m34s'] ['38d16m12s', '113d3m5s'] ['38d16m12s', '112d59m34s'] 1567
35 6 ['38d18m54s', '113d6m36s'] ['38d18m54s', '113d3m5s'] ['38d16m12s', '113d6m36s'] ['38d16m12s', '113d3m5s'] 1558
36 6 ['38d18m54s', '113d10m7s'] ['38d18m54s', '113d6m36s'] ['38d16m12s', '113d10m7s'] ['38d16m12s', '113d6m36s'] 1753
37 6 ['38d18m54s', '113d13m38s'] ['38d18m54s', '113d10m7s'] ['38d16m12s', '113d13m38s'] ['38d16m12s', '113d10m7s'] 1864
38 6 ['38d18m54s', '113d17m9s'] ['38d18m54s', '113d13m38s'] ['38d16m12s', '113d17m9s'] ['38d16m12s', '113d13m38s'] 2071
39 6 ['38d18m54s', '113d20m40s'] ['38d18m54s', '113d17m9s'] ['38d16m12s', '113d20m40s'] ['38d16m12s', '113d17m9s'] 2056
40 6 ['38d18m54s', '113d24m11s'] ['38d18m54s', '113d20m40s'] ['38d16m12s', '113d24m11s'] ['38d16m12s', '113d20m40s'] 1852
41 6 ['38d18m54s', '113d27m42s'] ['38d18m54s', '113d24m11s'] ['38d16m12s', '113d27m42s'] ['38d16m12s', '113d24m11s'] 2315
42 6 ['38d18m54s', '113d31m13s'] ['38d18m54s', '113d27m42s'] ['38d16m12s', '113d31m13s'] ['38d16m12s', '113d27m42s'] 2326
43 6 ['38d18m54s', '113d34m44s'] ['38d18m54s', '113d31m13s'] ['38d16m12s', '113d34m44s'] ['38d16m12s', '113d31m13s'] 2566
44 6 ['38d18m54s', '113d38m15s'] ['38d18m54s', '113d34m44s'] ['38d16m12s', '113d38m15s'] ['38d16m12s', '113d34m44s'] 2789
45 6 ['38d18m54s', '113d41m46s'] ['38d18m54s', '113d38m15s'] ['38d16m12s', '113d41m46s'] ['38d16m12s', '113d38m15s'] 2548
46 6 ['38d18m54s', '113d45m17s'] ['38d18m54s', '113d41m46s'] ['38d16m12s', '113d45m17s'] ['38d16m12s', '113d41m46s'] 1923
47 6 ['38d18m54s', '113d48m48s'] ['38d18m54s', '113d45m17s'] ['38d16m12s', '113d48m48s'] ['38d16m12s', '113d45m17s'] 2205
48 6 ['38d18m54s', '113d52m19s'] ['38d18m54s', '113d48m48s'] ['38d16m12s', '113d52m19s'] ['38d16m12s', '113d48m48s'] 2742
49 6 ['38d18m54s', '113d55m50s'] ['38d18m54s', '113d52m19s'] ['38d16m12s', '113d55m50s'] ['38d16m12s', '113d52m19s'] 2855
50 6 ['38d18m54s', '113d59m21s'] ['38d18m54s', '113d55m50s'] ['38d16m12s', '113d59m21s'] ['38d16m12s', '113d55m50s'] 2435
51 6 ['38d18m54s', '114d2m52s'] ['38d18m54s', '113d59m21s'] ['38d16m12s', '114d2m52s'] ['38d16m12s', '113d59m21s'] 2020
52 6 ['38d18m54s', '114d6m23s'] ['38d18m54s', '114d2m52s'] ['38d16m12s', '114d6m23s'] ['38d16m12s', '114d2m52s'] 2399
53 6 ['38d18m54s', '114d9m54s'] ['38d18m54s', '114d6m23s'] ['38d16m12s', '114d9m54s'] ['38d16m12s', '114d6m23s'] 2465
54 6 ['38d18m54s', '114d13m25s'] ['38d18m54s', '114d9m54s'] ['38d16m12s', '114d13m25s'] ['38d16m12s', '114d9m54s'] 2540
55 6 ['38d18m54s', '114d16m56s'] ['38d18m54s', '114d13m25s'] ['38d16m12s', '114d16m56s'] ['38d16m12s', '114d13m25s'] 2482
56 6 ['38d18m54s', '114d20m27s'] ['38d18m54s', '114d16m56s'] ['38d16m12s', '114d20m27s'] ['38d16m12s', '114d16m56s'] 2674
57 6 ['38d18m54s', '114d23m58s'] ['38d18m54s', '114d20m27s'] ['38d16m12s', '114d23m58s'] ['38d16m12s', '114d20m27s'] 2680
58 6 ['38d18m54s', '114d27m29s'] ['38d18m54s', '114d23m58s'] ['38d16m12s', '114d27m29s'] ['38d16m12s', '114d23m58s'] 2699
59 6 ['38d18m54s', '114d31m0s'] ['38d18m54s', '114d27m29s'] ['38d16m12s', '114d31m0s'] ['38d16m12s', '114d27m29s'] 2142
60 6 ['38d18m54s', '114d34m31s'] ['38d18m54s', '114d31m0s'] ['38d16m12s', '114d34m31s'] ['38d16m12s', '114d31m0s'] 1869
61 6 ['38d18m54s', '114d38m2s'] ['38d18m54s', '114d34m31s'] ['38d16m12s', '114d38m2s'] ['38d16m12s', '114d34m31s'] 2378
62 6 ['38d18m54s', '114d41m33s'] ['38d18m54s', '114d38m2s'] ['38d16m12s', '114d41m33s'] ['38d16m12s', '114d38m2s'] 2374
63 6 ['38d18m54s', '114d45m4s'] ['38d18m54s', '114d41m33s'] ['38d16m12s', '114d45m4s'] ['38d16m12s', '114d41m33s'] 1995
64 6 ['38d18m54s', '114d48m35s'] ['38d18m54s', '114d45m4s'] ['38d16m12s', '114d48m35s'] ['38d16m12s', '114d45m4s'] 1926
65 6 ['38d18m54s', '114d52m6s'] ['38d18m54s', '114d48m35s'] ['38d16m12s', '114d52m6s'] ['38d16m12s', '114d48m35s'] 2349
66 6 ['38d18m54s', '114d55m37s'] ['38d18m54s', '114d52m6s'] ['38d16m12s', '114d55m37s'] ['38d16m12s', '114d52m6s'] 2252
67 6 ['38d18m54s', '114d59m8s'] ['38d18m54s', '114d55m37s'] ['38d16m12s', '114d59m8s'] ['38d16m12s', '114d55m37s'] 2035
68 6 ['38d18m54s', '115d2m39s'] ['38d18m54s', '114d59m8s'] ['38d16m12s', '115d2m39s'] ['38d16m12s', '114d59m8s'] 1990
