0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
40 0 ['38d2m42s', '113d24m11s'] ['38d2m42s', '113d20m40s'] ['38d0m0s', '113d24m11s'] ['38d0m0s', '113d20m40s'] 1565
41 0 ['38d2m42s', '113d27m42s'] ['38d2m42s', '113d24m11s'] ['38d0m0s', '113d27m42s'] ['38d0m0s', '113d24m11s'] 1769
42 0 ['38d2m42s', '113d31m13s'] ['38d2m42s', '113d27m42s'] ['38d0m0s', '113d31m13s'] ['38d0m0s', '113d27m42s'] 1981
43 0 ['38d2m42s', '113d34m44s'] ['38d2m42s', '113d31m13s'] ['38d0m0s', '113d34m44s'] ['38d0m0s', '113d31m13s'] 1881
44 0 ['38d2m42s', '113d38m15s'] ['38d2m42s', '113d34m44s'] ['38d0m0s', '113d38m15s'] ['38d0m0s', '113d34m44s'] 1877
45 0 ['38d2m42s', '113d41m46s'] ['38d2m42s', '113d38m15s'] ['38d0m0s', '113d41m46s'] ['38d0m0s', '113d38m15s'] 2089
46 0 ['38d2m42s', '113d45m17s'] ['38d2m42s', '113d41m46s'] ['38d0m0s', '113d45m17s'] ['38d0m0s', '113d41m46s'] 2215
47 0 ['38d2m42s', '113d48m48s'] ['38d2m42s', '113d45m17s'] ['38d0m0s', '113d48m48s'] ['38d0m0s', '113d45m17s'] 2296
48 0 ['38d2m42s', '113d52m19s'] ['38d2m42s', '113d48m48s'] ['38d0m0s', '113d52m19s'] ['38d0m0s', '113d48m48s'] 2342
49 0 ['38d2m42s', '113d55m50s'] ['38d2m42s', '113d52m19s'] ['38d0m0s', '113d55m50s'] ['38d0m0s', '113d52m19s'] 2028
50 0 ['38d2m42s', '113d59m21s'] ['38d2m42s', '113d55m50s'] ['38d0m0s', '113d59m21s'] ['38d0m0s', '113d55m50s'] 2090
51 0 ['38d2m42s', '114d2m52s'] ['38d2m42s', '113d59m21s'] ['38d0m0s', '114d2m52s'] ['38d0m0s', '113d59m21s'] 2563
52 0 ['38d2m42s', '114d6m23s'] ['38d2m42s', '114d2m52s'] ['38d0m0s', '114d6m23s'] ['38d0m0s', '114d2m52s'] 2537
53 0 ['38d2m42s', '114d9m54s'] ['38d2m42s', '114d6m23s'] ['38d0m0s', '114d9m54s'] ['38d0m0s', '114d6m23s'] 2184
54 0 ['38d2m42s', '114d13m25s'] ['38d2m42s', '114d9m54s'] ['38d0m0s', '114d13m25s'] ['38d0m0s', '114d9m54s'] 2145
