X	Y	NorthWest		NorthEast		SouthWest		SouthEast		Elevation
39 0 ['38d5m24s', '115d41m20s'] ['38d5m24s', '115d34m18s'] ['38d0m0s', '115d41m20s'] ['38d0m0s', '115d34m18s'] 2308
40 0 ['38d5m24s', '115d48m22s'] ['38d5m24s', '115d41m20s'] ['38d0m0s', '115d48m22s'] ['38d0m0s', '115d41m20s'] 3057
41 0 ['38d5m24s', '115d55m24s'] ['38d5m24s', '115d48m22s'] ['38d0m0s', '115d55m24s'] ['38d0m0s', '115d48m22s'] 2453
42 0 ['38d5m24s', '116d2m26s'] ['38d5m24s', '115d55m24s'] ['38d0m0s', '116d2m26s'] ['38d0m0s', '115d55m24s'] 1779
43 0 ['38d5m24s', '116d9m28s'] ['38d5m24s', '116d2m26s'] ['38d0m0s', '116d9m28s'] ['38d0m0s', '116d2m26s'] 2105
44 0 ['38d5m24s', '116d16m30s'] ['38d5m24s', '116d9m28s'] ['38d0m0s', '116d16m30s'] ['38d0m0s', '116d9m28s'] 2420
45 0 ['38d5m24s', '116d23m32s'] ['38d5m24s', '116d16m30s'] ['38d0m0s', '116d23m32s'] ['38d0m0s', '116d16m30s'] 2279
46 0 ['38d5m24s', '116d30m34s'] ['38d5m24s', '116d23m32s'] ['38d0m0s', '116d30m34s'] ['38d0m0s', '116d23m32s'] 2835
47 0 ['38d5m24s', '116d37m36s'] ['38d5m24s', '116d30m34s'] ['38d0m0s', '116d37m36s'] ['38d0m0s', '116d30m34s'] 2426
48 0 ['38d5m24s', '116d44m38s'] ['38d5m24s', '116d37m36s'] ['38d0m0s', '116d44m38s'] ['38d0m0s', '116d37m36s'] 2130
49 0 ['38d5m24s', '116d51m40s'] ['38d5m24s', '116d44m38s'] ['38d0m0s', '116d51m40s'] ['38d0m0s', '116d44m38s'] 2220
50 0 ['38d5m24s', '116d58m42s'] ['38d5m24s', '116d51m40s'] ['38d0m0s', '116d58m42s'] ['38d0m0s', '116d51m40s'] 2084
51 0 ['38d5m24s', '117d5m44s'] ['38d5m24s', '116d58m42s'] ['38d0m0s', '117d5m44s'] ['38d0m0s', '116d58m42s'] 1715
52 0 ['38d5m24s', '117d12m46s'] ['38d5m24s', '117d5m44s'] ['38d0m0s', '117d12m46s'] ['38d0m0s', '117d5m44s'] 2077
53 0 ['38d5m24s', '117d19m48s'] ['38d5m24s', '117d12m46s'] ['38d0m0s', '117d19m48s'] ['38d0m0s', '117d12m46s'] 2160
54 0 ['38d5m24s', '117d26m50s'] ['38d5m24s', '117d19m48s'] ['38d0m0s', '117d26m50s'] ['38d0m0s', '117d19m48s'] 2017
55 0 ['38d5m24s', '117d33m52s'] ['38d5m24s', '117d26m50s'] ['38d0m0s', '117d33m52s'] ['38d0m0s', '117d26m50s'] 2767
56 0 ['38d5m24s', '117d40m54s'] ['38d5m24s', '117d33m52s'] ['38d0m0s', '117d40m54s'] ['38d0m0s', '117d33m52s'] 1711
57 0 ['38d5m24s', '117d47m56s'] ['38d5m24s', '117d40m54s'] ['38d0m0s', '117d47m56s'] ['38d0m0s', '117d40m54s'] 2017
58 0 ['38d5m24s', '117d54m58s'] ['38d5m24s', '117d47m56s'] ['38d0m0s', '117d54m58s'] ['38d0m0s', '117d47m56s'] 2084
59 0 ['38d5m24s', '118d2m0s'] ['38d5m24s', '117d54m58s'] ['38d0m0s', '118d2m0s'] ['38d0m0s', '117d54m58s'] 1453
60 0 ['38d5m24s', '118d9m2s'] ['38d5m24s', '118d2m0s'] ['38d0m0s', '118d9m2s'] ['38d0m0s', '118d2m0s'] 2307
61 0 ['38d5m24s', '118d16m4s'] ['38d5m24s', '118d9m2s'] ['38d0m0s', '118d16m4s'] ['38d0m0s', '118d9m2s'] 2658
62 0 ['38d5m24s', '118d23m6s'] ['38d5m24s', '118d16m4s'] ['38d0m0s', '118d23m6s'] ['38d0m0s', '118d16m4s'] 2313
63 0 ['38d5m24s', '118d30m8s'] ['38d5m24s', '118d23m6s'] ['38d0m0s', '118d30m8s'] ['38d0m0s', '118d23m6s'] 2554
64 0 ['38d5m24s', '118d37m10s'] ['38d5m24s', '118d30m8s'] ['38d0m0s', '118d37m10s'] ['38d0m0s', '118d30m8s'] 2524
65 0 ['38d5m24s', '118d44m12s'] ['38d5m24s', '118d37m10s'] ['38d0m0s', '118d44m12s'] ['38d0m0s', '118d37m10s'] 2567
66 0 ['38d5m24s', '118d51m14s'] ['38d5m24s', '118d44m12s'] ['38d0m0s', '118d51m14s'] ['38d0m0s', '118d44m12s'] 2455
67 0 ['38d5m24s', '118d58m16s'] ['38d5m24s', '118d51m14s'] ['38d0m0s', '118d58m16s'] ['38d0m0s', '118d51m14s'] 2261
